,000032.SH,000033.SH,000034.SH,000035.SH,000036.SH,000037.SH,000038.SH,000039.SH,000040.SH,000041.SH,H00032.SH,H00033.SH,H00034.SH,H00035.SH,H00036.SH,H00037.SH,H00038.SH,H00039.SH,H00040.SH,H00041.SH
2009/6/5,2854.698,2167.812,2213.501,1855.703,3260.043,2206.446,3491.1,1849.202,2061.101,2027.594,0,0,0,0,0,0,0,0,0,0
2009/6/8,2860.985,2171.573,2194.586,1855.511,3342.517,2230.892,3460.907,1840.874,2034.358,1990.375,0,0,0,0,0,0,0,0,0,0
2009/6/9,2827.34,2160.291,2180.983,1843.932,3348.234,2232.296,3534.268,1847.156,2018.959,1988.502,0,0,0,0,0,0,0,0,0,0
2009/6/10,2818.676,2150.621,2195.057,1863.752,3391.011,2225.865,3548.595,1852.53,2047.52,1978.875,0,0,0,0,0,0,0,0,0,0
2009/6/11,2859.522,2176.699,2237.25,1903.279,3412.017,2253.596,3548.997,1882.03,2088.275,1997.11,0,0,0,0,0,0,0,0,0,0
2009/6/12,2815.75,2137.057,2203.172,1894.35,3410.259,2298.134,3540.522,1876.708,2052.226,1981.385,0,0,0,0,0,0,0,0,0,0
2009/6/15,2763.208,2081.037,2160.019,1855.924,3323.774,2279.649,3484.18,1840.213,2007.823,1934.256,0,0,0,0,0,0,0,0,0,0
2009/6/16,2751.175,2073.036,2177.934,1888.895,3403.823,2301.29,3627.453,1862.471,2024.792,1943.1,0,0,0,0,0,0,0,0,0,0
2009/6/17,2743.428,2091.027,2177.453,1894.37,3395.014,2302.954,3600.082,1852.346,2008.906,1941.772,0,0,0,0,0,0,0,0,0,0
2009/6/18,2778.398,2119.387,2202.525,1918.373,3434.073,2330.574,3659.337,1874.942,2026.658,1964.199,0,0,0,0,0,0,0,0,0,0
2009/6/19,2881.656,2138.119,2233.549,1930.373,3456.885,2370.548,3740.893,1884.403,2069.351,1966.035,0,0,0,0,0,0,0,0,0,0
2009/6/22,2858.84,2128.092,2265.053,1933.061,3446.433,2380.958,3787.591,1899.404,2105.78,1994.21,0,0,0,0,0,0,0,0,0,0
2009/6/23,2836.077,2153.875,2250.103,1917.039,3421.402,2333.301,3819.672,1890.11,2124.893,2006.722,0,0,0,0,0,0,0,0,0,0
2009/6/24,2787.261,2162.808,2243.303,1914.867,3413.791,2321.359,3850.987,1878.312,2152.148,1993.275,0,0,0,0,0,0,0,0,0,0
2009/6/25,2883.911,2252.497,2279.777,1936.439,3434.995,2339.265,3816.98,1889.114,2163.849,2019.87,0,0,0,0,0,0,0,0,0,0
2009/6/26,2855.942,2247.511,2259.257,1930.135,3416.4,2331.904,3836.091,1874.315,2136.539,2009.28,0,0,0,0,0,0,0,0,0,0
2009/6/29,2879.708,2229.134,2254.032,1923.826,3435.667,2349.134,3875.148,1879.705,2121.081,1990.804,0,0,0,0,0,0,0,0,0,0
2009/6/30,2975.806,2234.98,2284.016,1939.851,3486.018,2337.58,3940.337,1883.396,2145.817,2030.691,0,0,0,0,0,0,0,0,0,0
2009/7/1,2974.638,2246.967,2267.792,1916.305,3472.224,2327.495,3921.188,1862.398,2169.876,2012.988,0,0,0,0,0,0,0,0,0,0
